2017-	<a class="szurke2" href="resources/sb_lattice_foundation.pdf">Algebraic structure of verb centered constructions</a> - Bolyai Scholarship
2016-2018	Creating the foundation of new, innovative tourism services using NLP methods - GINOP-2.1.1-15-2015-00517
2016	<a class="szurke2" href="http://clara.nytud.hu/mtsz/run.cgi/first_form?uilang=eng">New query interface</a> for the Hungarian Historical Corpus - RIL HAS
2015-2018	<a class="szurke2" href="mgtsz2">Hungarian Generative Diachronic Syntax 2</a> - OTKA project (K 112057) external associate - <a class="szurke2" href="http://omagyarkorpusz.nytud.hu/en-search.html">corpus query interface</a>
2015-2016	<a class="szurke2" href="http://e-magyar.hu/en">e-magyar</a> Digital Language Processing System for Hungarian - HAS infrastructure development project
2013	An online tool on <a class="szurke2" href="http://corpus.nytud.hu/utonevportal">Hungarian first names</a> <span style="font-size: smaller">[hun]</span> - RIL HAS
2012-2016	<a class="szurke2" href="http://hnc.nytud.hu">MNSZ2</a> - Hungarian Gigaword Corpus - CESAR, RIL HAS
2012-2015	<a class="szurke2" href="ecoinno.html">Development of an eco-innovation marketplace based on semantic technologies (ECOINNO)</a> - NFÜ
2012-2013	<a class="szurke2" href="braille.html">New Hungarian Contracted Braille Script</a> - RIL HAS
2011-2013	<a class="szurke2" href="http://www.nytud.hu/oszt/korpusz/cesar.html">Central and South-East European Resources (CESAR)</a> <span style="font-size: smaller">[hun]</span> - European Union 271022
2011-2012	Anonymization and dissemination of <a class="szurke2" href="http://buszi.nytud.hu">BSI</a> <span style="font-size: smaller">[hun]</span> - RIL HAS
2010-2012	<a class="szurke2" href="http://www.nytud.hu/oszt/korpusz/iTranslate4.html">iTranslate4.eu</a> <span style="font-size: smaller">[hun]</span> machine translation project - EU CIP-ICT-PSP.2009.5.1
2009-2013	<a class="szurke2" href="mgtsz.html">Hungarian Generative Diachronic Syntax</a> - OTKA project (NK 78074) associated researcher
2008-2013	<a class="szurke2" style="font-family: monospace" href="http://helyesiras.mta.hu">helyesiras.mta.hu</a> <span style="font-size: smaller">[hun]</span> <a class="szurke2" href="helyesiras.html">online spelling consultation portal</a> - RIL HAS
2008-2010	<a class="szurke2" href="http://www.tintakiado.hu/book_view.php?id=286"><em>Frequency Dictionary of Verb Phrase Constructions for Hungarian</em></a> <span style="font-size: smaller">[hun]</span> - RIL HAS
2008-2009	Corpus query interface for <a class="szurke2" href="http://buszi.nytud.hu">BSI</a> - OTKA project (K 60403) external associate
2005-2007	Creating the Hungarian <em>EuroWordNet</em> ontology - GVOP project
2005	<a class="szurke2" href="http://hunglish.hu">Hunglish</a> Hungarian-English parallel corpus - ITEM project
2004-2007	Hungarian to English machine translation system - NKFP project
2004-2005	<a class="szurke2" href="http://corpus.nytud.hu/e-szokincs"><em>E-Szókincs</em></a> <span style="font-size: smaller">[hun]</span> - Educational aid for multi-faceted examination of the vocabulary of today's Hungarian literature - IHM project
2003-2004	Intelligent electronic dictionary and lexical database (<em>INLEX</em>) - ITEM project
2001-2003	Automatikuc information extraction from short (political, business, market) news - NKFP project
2001-2003	<a class="szurke2" href="http://hnc.nytud.hu">MNSZ1</a> - Hungarian National Corpus - OTKA project (T 026091)
2000-2002	MATCHPAD (Machine Translation for the Czech, Polish and Hungarian Public Administration) project
