2021-	új magyar értelmezõ szótár
2020-2021	<a class="szurke2" href="http://www.nytud.hu/depts/corpus/resources/sb_etal_hadifoglyok.pdf">A magyar hadifogoly-adatbázis orosz-magyar átírása és helyreállítása</a> - Magyar Nemzeti Levéltár, Helion Kft.
2020	Magyar elõtanított nyelvmodellek készítése
2019-2020	Korpuszlekérdezés, korpuszelemzés, igei szerkezetek, e-magyar - ÚNKP Bolyai+ ösztöndíj
2018-2020	Multilingual Resources for CEF.AT in the legal domain (MARCELL) - EU 2017-EU-IA-0136 
2017-2020	<a class="szurke2" href="http://real.mtak.hu/85448">Az igei szerkezetek algebrai stuktúrája</a> - Bolyai-ösztöndíj - <a class="szurke2" href="http://www.nytud.hu/oszt/korpusz/resources/sb_bolyai.pdf">beszámoló</a>
2016-2018	Új, innovatív turisztikai szolgáltatás alapjainak megteremtése NLP módszer segítségével - GINOP-2.1.1-15-2015-00517
2016	A Magyar Történeti Szövegtár <a class="szurke2" href="http://clara.nytud.hu/mtsz">új keresõfelülete</a> - MTA Nyelvtudományi Intézet
2015-2018	<a class="szurke2" href="mgtsz2">Magyar generatív történeti mondattan 2</a> - OTKA projekt (K 112057) külsõ munkatársként - <a class="szurke2" href="http://omagyarkorpusz.nytud.hu/hu-search.html">keresõfelület</a>
2015-	<a class="szurke2" href="http://e-magyar.hu/hu">e-magyar</a> Nyílt, integrált magyar nyelvtechnológiai kutatási infrastruktúra fejlesztése - <a class="szurke2" href="https://github.com/dlt-rilmta/emtsv">github</a> - MTA Infrastruktúra-fejlesztési Pályázat
2013	<a class="szurke2" href="http://corpus.nytud.hu/utonevportal">Utónévportál, utónévkeresõ</a> - MTA Nyelvtudományi Intézet
2012-2016	<a class="szurke2" href="http://clara.nytud.hu/mnsz2-dev">MNSZ2</a> - a Magyar Nemzeti Szövegtár 1 milliárd szavas új változata - CESAR, MTA Nyelvtudományi Intézet
2012-2015	<a class="szurke2" href="ecoinno.html">Öko-innovációs piactér fejlesztése szemantikus audit alapon (ECOINNO)</a> - NFÜ
2012-2013	<a class="szurke2" href="braille.html">Új magyar Braille-rövidírás létrehozása</a> - MTA Nyelvtudományi Intézet
2011-2013	<a class="szurke2" href="cesar.html">Central and South-East European Resources (CESAR)</a> - Európai Unió 271022
2011-2012	A <a class="szurke2" href="http://buszi.nytud.hu">BUSZI</a> anonimizálása, közzététele - MTA Nyelvtudományi Intézet
2010-2012	<a class="szurke2" href="iTranslate4.html">iTranslate4.eu</a> gépi fordító projekt - EU CIP-ICT-PSP.2009.5.1
2009-2013	<a class="szurke2" href="mgtsz.html">Magyar generatív történeti mondattan</a> - OTKA projekt (NK 78074) társkutató
2008-2013	<a class="szurke2" style="font-family: monospace" href="http://helyesiras.mta.hu">helyesiras.mta.hu</a> <a class="szurke2" href="helyesiras.html">helyesírási tanácsadó portál</a> - MTA Nyelvtudományi Intézet
2008-2010	<a class="szurke2" href="http://www.tintakiado.hu/book_view.php?id=286"><em>Magyar igei szerkezetek</em></a> szótár létrehozása - MTA Nyelvtudományi Intézet
2008-2009	A <a class="szurke2" href="http://buszi.nytud.hu">BUSZI</a> lekérdezõfelület kialakítása - OTKA projekt (K 60403) külsõ munkatársként
2005-2007	Magyar ontológia építése (<em>EuroWordNet</em>) - GVOP projekt
2005	<a class="szurke2" href="http://hunglish.hu">Hunglish</a> magyar-angol párhuzamos korpusz építése - ITEM projekt
2004-2007	Magyar-angol gépi fordítórendszer - NKFP projekt
2004-2005	<a class="szurke2" href="http://corpus.nytud.hu/e-szokincs"><em>E-Szókincs</em></a> - Oktatási segédeszköz a mai magyar irodalom és szókincsének többszempontú vizsgálatához - IHM projekt
2003-2004	Intelligens elektronikus szótár és lexikai adatbázis (<em>INLEX</em>) - ITEM projekt
2001-2003	Automatikus információszerzés rövid (politikai, üzleti, piaci) hírekbõl - NKFP projekt
2001-2003	A <a class="szurke2" href="http://corpus.nytud.hu/mnsz">Magyar Nemzeti Szövegtár</a> létrehozása - OTKA projekt (T 026091)
2000-2002	MATCHPAD (Machine Translation for the Czech, Polish and Hungarian Public Administration) projekt
