2016-	Creating the basis of a new innovative touristic service utilising NLP methods (Economic Competitiveness Operational Programme)
2016-2017	<a class="szurke2" href="http://www.nytud.hu/depts/tlp/uralic/index.html">Languages under the Influence. Uralic syntax changing in an asymmetrical contact situation</a> (ERC_15_HU, OTKA 118079)
2015-2016	<a class="szurke2" href="http://e-magyar.hu">e-magyar.hu</a> digital language processing pipeline for Hungarian (Hungarian Academy of Sciences Infrastructure development grant)
2015-	Hungarian Generative Diachronic Syntax 2 (OTKA Hungarian Scientific Research Fund)
2013-2018	<a class="szurke2" href="http://finnotka.nytud.hu/en">Finno-Ugric Digital Natives: Linguistic support for Finno-Ugric digital communities in generating online content (OTKA Hungarian Scientific Research Fund)</a>
2011-2013	CESAR: Central and South-East European Resources (CIP-ICT-PSP.2010.4 Theme 6: Multilingual Web)
2010-2011	iTranslate4.eu (EU CIP-ICT-PSP.2009.5.1)
2009-2013	<a class="szurke2" href="http://oldhungariancorpus.nytud.hu">Hungarian Generative Diachronic Syntax</a> (OTKA Hungarian Scientific Research Fund)
2008-2010	Language and Speech Technology Platform (NKTH)
2007-2010	ABSTRACT: The origins, representation and use of abstract concepts (FP-6-NEST)
2006-2007	Analogical generalisation processes in language acquisition (OTKA Hungarian Scientific Research Fund)
