2016-	Új, innovatív turisztikai szolgáltatás alapjainak megteremtése NLP módszer segítségével (GINOP-2.1.1.-15) (MTA Infrastruktúra-fejlesztési pályázat)
2016-2017	<a class="szurke2" href="http://www.nytud.hu/oszt/elmnyelv/urali/index.html">Az uráli nyelvek mondattanának változása aszimmetrikus kontaktushelyzetben</a> (ERC_15_HU, OTKA 118079)
2015-2016	<a class="szurke2" href="http://e-magyar.hu">e-magyar.hu</a> digitális nyelvfeldolgozó rendszer
2015-	Magyar Generatív Történeti Szintaxis 2 (OTKA)
2013-2018	<a class="szurke2" href="http://finnotka.nytud.hu/hu">Finno-Ugric Digital Natives: Linguistic support for Finno-Ugric digital communities in generating online content (OTKA)</a>
2011-2013	<a class="szurke2" href="cesar.html">CESAR</a>: Central and South-East European Resources (CIP-ICT-PSP.2010.4 Theme 6: Multilingual Web)
2010-2011	<a class="szurke2" href="http://www.itranslate4.hu">iTranslate4.eu</a> gépi fordító projekt (EU CIP-ICT-PSP.2009.5.1)
2009-2013	<a class="szurke2" href="http://omagyarkorpusz.nytud.hu">Magyar Generatív Történeti Szintaxis</a> (MTA Nyelvtudományi Intézet, OTKA)
2008-2010	<a class="szurke2" href="http://hlt-platform.hu">Nyelv- és Beszédtechnológiai Platform</a> (MTA Nyelvtudományi Intézet, NKTH)
2007-2010	ABSTRACT: The origins, representation and use of abstract concepts (BME Kognitív Tudományi Tanszék, FP-6-NEST)
<!-- 2007	Metonimikusan viselkedõ tulajdonnevek detektálása angol nyelvû szövegben (BME MOKK) -->
2006-2007	Analogikus általánosítási folyamatok a gyereknyelvben (BME Kognitív Tudományi Tanszék, OTKA)
<!-- 2006-2007	Magyar nyelvû tulajdonnév-felismerés maximum entrópia módszerrel (BME MOKK) -->
<!-- 2005-2006	morphdb.hu: magyar morfológiai adatbázis (BME MOKK) -->
<!-- 2003-2005	Lexikonszócikkekbõl épített elektronikus tudásbázison alapuló információ-kinyerõ rendszer (Magyar Nagylexikon Kiadó) -->
